
約定履歴照会 

商品指定,約定開始年月日,約定終了年月日,明細数,明細指定開始,明細指定終了
"すべての商品","2024年06月13日","2026年07月12日","25","1","25"

（注）明細数はご指定された期間の合計です。

約定日,銘柄,銘柄コード,市場,取引,期限,預り,課税,約定数量,約定単価,手数料/諸経費等,税額,受渡日,受渡金額/決済損益
"2024/07/02","ＳＢＩ・Ｖ・Ｓ＆Ｐ５００インデックス・ファンド",,,投信金額買付,"--"," NISA(つ) ","--",13723,29148,--,--,"2024/07/05",40000
"2024/08/02","ＳＢＩ・Ｖ・Ｓ＆Ｐ５００インデックス・ファンド",,,投信金額買付,"--"," NISA(つ) ","--",14906,26836,--,--,"2024/08/07",40000
"2024/09/04","ＳＢＩ・Ｖ・Ｓ＆Ｐ５００インデックス・ファンド",,,投信金額買付,"--"," NISA(つ) ","--",15069,26545,--,--,"2024/09/09",40000
"2024/10/02","ＳＢＩ・Ｖ・Ｓ＆Ｐ５００インデックス・ファンド",,,投信金額買付,"--"," NISA(つ) ","--",14741,27135,--,--,"2024/10/07",40000
"2024/11/05","ＳＢＩ・Ｖ・Ｓ＆Ｐ５００インデックス・ファンド",,,投信金額買付,"--"," NISA(つ) ","--",13896,28785,--,--,"2024/11/08",40000
"2024/12/03","ＳＢＩ・Ｖ・Ｓ＆Ｐ５００インデックス・ファンド",,,投信金額買付,"--"," NISA(つ) ","--",13333,30001,--,--,"2024/12/06",40000
"2025/01/07","ＳＢＩ・Ｖ・Ｓ＆Ｐ５００インデックス・ファンド",,,投信金額買付,"--"," NISA(つ) ","--",12775,31313,--,--,"2025/01/10",40000
"2025/02/04","ＳＢＩ・Ｖ・Ｓ＆Ｐ５００インデックス・ファンド",,,投信金額買付,"--"," NISA(つ) ","--",12960,30866,--,--,"2025/02/07",40000
"2025/03/04","ＳＢＩ・Ｖ・Ｓ＆Ｐ５００インデックス・ファンド",,,投信金額買付,"--"," NISA(つ) ","--",13808,28970,--,--,"2025/03/07",40000
"2025/04/02","ＳＢＩ・Ｖ・Ｓ＆Ｐ５００インデックス・ファンド",,,投信金額買付,"--"," NISA(つ) ","--",14272,28028,--,--,"2025/04/07",40000
"2025/05/02","ＳＢＩ・Ｖ・Ｓ＆Ｐ５００インデックス・ファンド",,,投信金額買付,"--"," NISA(つ) ","--",14716,27182,--,--,"2025/05/09",40000
"2025/06/03","ＳＢＩ・Ｖ・Ｓ＆Ｐ５００インデックス・ファンド",,,投信金額買付,"--"," NISA(つ) ","--",14173,28223,--,--,"2025/06/06",40000
"2025/07/02","ＳＢＩ・Ｖ・Ｓ＆Ｐ５００インデックス・ファンド",,,投信金額買付,"--"," NISA(つ) ","--",13485,29663,--,--,"2025/07/07",40000
"2025/08/04","ＳＢＩ・Ｖ・Ｓ＆Ｐ５００インデックス・ファンド",,,投信金額買付,"--"," NISA(つ) ","--",13044,30666,--,--,"2025/08/07",40000
"2025/09/03","ＳＢＩ・Ｖ・Ｓ＆Ｐ５００インデックス・ファンド",,,投信金額買付,"--"," NISA(つ) ","--",12566,31833,--,--,"2025/09/08",40000
"2025/10/02","ＳＢＩ・Ｖ・Ｓ＆Ｐ５００インデックス・ファンド",,,投信金額買付,"--"," NISA(つ) ","--",12140,32950,--,--,"2025/10/07",40000
"2025/11/05","ＳＢＩ・Ｖ・Ｓ＆Ｐ５００インデックス・ファンド",,,投信金額買付,"--"," NISA(つ) ","--",11524,34711,--,--,"2025/11/10",40000
"2025/12/02","ＳＢＩ・Ｖ・Ｓ＆Ｐ５００インデックス・ファンド",,,投信金額買付,"--"," NISA(つ) ","--",11280,35463,--,--,"2025/12/05",40000
"2026/03/03","ＳＢＩ・Ｖ・Ｓ＆Ｐ５００インデックス・ファンド",,,投信金額買付,"--"," NISA(つ) ","--",11025,36284,--,--,"2026/03/06",40000
"2026/04/02","ＳＢＩ・Ｖ・Ｓ＆Ｐ５００インデックス・ファンド",,,投信金額買付,"--"," NISA(つ) ","--",11433,34989,--,--,"2026/04/07",40000
"2026/05/07","ＳＢＩ・Ｖ・Ｓ＆Ｐ５００インデックス・ファンド",,,投信金額買付,"--"," NISA(つ) ","--",10364,38598,--,--,"2026/05/12",40000
"2026/06/02","ＳＢＩ・Ｖ・Ｓ＆Ｐ５００インデックス・ファンド",,,投信金額買付,"--"," NISA(つ) ","--",9817,40748,--,--,"2026/06/05",40000
"2026/06/15","三菱ＨＣキャピタル","8593","東証（外）",株式現物買,"--"," NISA(成) ","--",100,1345.8,--,--,"2026/06/17",134580
"2026/06/15","三菱ＨＣキャピタル","8593","PTS（X）",株式現物買,"--"," NISA(成) ","--",100,1345.8,--,--,"2026/06/17",134580
"2026/07/02","ＳＢＩ・Ｖ・Ｓ＆Ｐ５００インデックス・ファンド",,,投信金額買付,"--"," NISA(つ) ","--",9784,40884,--,--,"2026/07/07",40000


